Rank,Cafe,Menu,Price,Address
,Old Oak Tap,BLT,$10,"2109 W. Chicago Ave.,"
,Au Cheval,Fried Bologna,$9,"800 W. Randolph St.,"
,Xoco,Woodland Mushroom,$9.50,"445 N. Clark St.,"
,Al’s Deli,Roast Beef,$9.40,"914 Noyes St., Evanston,"
,Publican Quality Meats,PB&L,$10,"825 W. Fulton Mkt.,"
,Hendrickx Belgian Bread Crafter,Belgian Chicken Curry Salad,$7.25,100 E. Walton
,Acadia,Lobster Roll,$16,"1639 S. Wabash Ave.,"
,Birchwood Kitchen,Smoked Salmon Salad,$10,"2211 W. North Ave.,"
,Cemitas Puebla,Atomica Cemitas,$9,"3619 W. North Ave.,"
,Nana,Grilled Laughing Bird Shrimp and Fried Po’ Boy,$17,"3267 S. Halsted St.,"
,Lula Cafe,Ham and Raclette Panino,$11,"2537 N. Kedzie Blvd.,"
,Ricobene’s,Breaded Steak,$5.49,Multiple
,Frog n Snail,The Hawkeye,$14,"3124 N. Broadway,"
,Crosby’s Kitchen,Chicken Dip,$10,"3455 N. Southport Ave.,"
,Longman & Eagle,Wild Boar Sloppy Joe,$13,"2657 N. Kedzie Ave.,"
,Bari,Meatball Sub,$4.50,"1120 W. Grand Ave.,"
,Manny’s,Corned Beef,$11.95,"1141 S. Jefferson St.,"
,Eggy’s,Turkey Club,$11.50,"333 E. Benton Pl.,"
,Old Jerusalem,Falafel,$6.25,"1411 N. Wells St.,"
,Mindy’s HotChocolate,Crab Cake,$15,"1747 N. Damen Ave.,"
,Olga’s Delicatessen,Chicken Schnitzel,$5,3209 W. Irving Park
,Dawali Mediterranean Kitchen,Shawarma,$6,Multiple
,Big Jones,Toasted Pimiento Cheese,$8,"5347 N. Clark St.,"
,La Pane,Vegetarian Panino,$5.99,"2954 W. Irving Park Rd.,"
,Pastoral,Cali Chèvre,$7.52,Multiple
,Max’s Deli,Pastrami,$11.95,"191 Skokie Valley Rd., Highland Park,"
,Lucky’s Sandwich Co.,The Fredo,$7.50,Multiple
,City Provisions,Smoked Ham,$12.95,"1818 W. Wilson Ave.,"
,Papa’s Cache Sabroso,Jibarito,$7,"2517 W. Division St.,"
,Bavette’s Bar & Boeuf,Shaved Prime Rib,$21,218 W. Kinzie
,Hannah’s Bretzel,Serrano Ham and Manchego Cheese,$9.79,Multiple
,La Fournette,Tuna Salad,$9.75,"1547 N. Wells St.,"
,Paramount Room,Paramount Reuben,$13,"415 N. Milwaukee Ave.,"
,Melt Sandwich Shoppe,The Istanbul,$7.95,"1840 N. Damen Ave.,"
,Floriole Cafe & Bakery,B.A.D.,$9,"1220 W. Webster Ave.,"
,First Slice Pie Café,Duck Confit and Mozzarella,$9,"5357 N. Ashland Ave.,"
,Troquet,Croque Monsieur,$8,"1834 W. Montrose Ave.,"
,Grahamwich,Green Garbanzo,$8,"615 N. State St.,"
,Saigon Sisters,The Hen House,$7,Multiple
,Rosalia’s Deli,Tuscan Chicken,$6,"241 N. York Rd., Elmhurst,"
,Z&H MarketCafe,The Marty ,$7.25,"1323 E. 57th St.,"
,Market House on the Square,Whitefish,$11,"655 Forest Ave., Lake Forest,"
,Elaine’s Coffee Call,"Oat Bread, Pecan Butter, and Fruit Jam",$6,"Hotel Lincoln, 1816 N. Clark St.,"
,Marion Street Cheese Market,Cauliflower Melt,$9,"100 S. Marion St., Oak Park,"
,Cafecito,Cubana,$5.49,"26 E. Congress Pkwy.,"
,Chickpea,Kufta,$8,"2018 W. Chicago Ave.,"
,The Goddess and Grocer,Debbie’s Egg Salad,$6.50,"25 E. Delaware Pl.,"
,Zenwich,Beef Curry,$7.50,"416 N. York St., Elmhurst,"
,Toni Patisserie,Le Végétarien,$8.75,"65 E. Washington St.,"
,Phoebe’s Bakery,The Gatsby,$6.85,"3351 N. Broadway,"
